Category,Question,Answer,GPT Answer
Board,تیم اول جدول لیگ برتر چیه؟,خیبر خرم آباد,Right
Board,تیم ۱۳ ام لیگ برتر کیه؟,آلومینیوم اراک,Wrong
Board,استقلال تیم چندم جدول هست؟,تیم سوم,Right
Board,برترین گلزن لیگ تا به اینجا کیست؟,حسن شوشتری، علی علیپور، علی خدادادی، رضا دهقان، علیرضا کوشکی، همون ربیع زاده و کسری طاهری با ۲ گل زده,Wrong
Match,نتیجه بازی آخر تیم پرسپولیس چه شد؟,برد ۱ بر هیچ مقابل سپاهان,Right
Match,نتیجه بازی آخر تیم فجرسپاسی چه شد؟,برد ۱ بر هیچ برابر گل گهر,Right
Match,آخرین بازی تیم ملوان مقابل چه تیمی بود؟,تیم فولاد,Right
Match,آخرین بازی تیم پیکان مقابل چه تیمی بود؟,استقلال خوزستان,Right
Goal,گل های بازی استقلال و ذوب آهن توسط چه کسانی به ثمر رسید؟,علیرضا کوشکی ۲ گل، رامین رضاییان ۱ گل برای استقلال و پویا مختاری ۱ گل و حسن شوشتری ۲ گل برای ذوب آهن,Right
Goal,گل های بازی آلومینیوم و خیبر خرم آباد توسط چه کسانی به ثمر رسید؟,مهرداد قنبری ۱ گل برای خیبر,Right
Goal,گل اول بازی مس رفسنجان و تراکتور توسط کدام بازیکن زده شد؟,این بازی گل نداشت,Wrong
Goal,گل آخر بازی فولاد و ملوان را که زد؟,محمد علی نژاد بازیکن ملوان,Right
Card,کدام بازیکنان تیم شمس آذر در بازی آخر این تیم کارت زرد گرفته اند؟,محمدجواد آزاده و داریوش شجاعیان,Wrong
Card,کدام بازیکنان تیم گل گهر در بازی آخر این تیم کارت زرد گرفته اند؟,آرمان اکوان و امیر جعفری,Wrong
Team,سرمربی تیم سپاهان اصفهان کیست؟,محرم نویدکیا,Right
Team,نام ورزشگاه خانگی باشگاه ذوب آهن چیست؟,ورزشگاه فولاد شهر,Right
Future,بازی بعدی تیم فولاد با کدام تیم است؟,پرسپولیس,Right
Future,بازی بعدی تیم پیکان در چه تاریخی است؟,شنبه ۲۲ شهریور,Wrong
Future,بازی بعدی تیم استقلال خوزستان در چه تاریخی است؟,جمعه ۲۱ شهریور,Right
Future,بازی بعدی تیم سپاهان در کدام ورزشگاه است؟,ورزشگاه شهید سلیمانی سیرجان,Wrong
