Category,Question,Answer,GPT Answer
Board,تیم اول جدول لیگ برتر چیه؟,تراکتور,Right
Board,تیم ۱۵ ام لیگ برتر کیه؟,مس رفسنجان,Wrong
Board,استقلال تیم چندم جدول هست؟,تیم هشتم,Wrong
Board,برترین گلزن لیگ تا به اینجا کیست؟,کسری طاهری و علی علیپور با ۴ گل,Right
Match,نتیجه بازی آخر تیم ‌ذوب آهن چه شد؟,تساوی صفر صفر برابر سپاهان,Wrong
Match,نتیجه بازی آخر تیم ملوان چه شد؟,برد ۱ بر هیچ برابرخیبر خرم آباد,Wrong
Match,آخرین بازی تیم پرسپولیس مقابل چه تیمی بود؟,گل گهر سیرجان,Wrong
Match,آخرین بازی تیم خیبر خرم آباد مقابل چه تیمی بود؟,ملوان,Wrong
Goal,گل های بازی فجرسپاسی و استقلال خوزستان توسط چه کسانی به ثمر رسید؟,محمود مطلق زاده برای فجر سپاسی و محمدرضا مهدی زاده و محمدحسین زواری برای استقلال خوزستان,Right
Goal,گل های بازی ملوان و خیبر خرم آباد توسط چه کسانی به ثمر رسید؟,ابوذر صفر زاده ۱ گل برای ملوان,Right
Goal,گل اول بازی مس رفسنجان و پیکان توسط کدام بازیکن زده شد؟,آرمان رمضانی بازیکن مس رفسنجان,Right
Goal,گل آخر بازی آلومینیوم اراک و شمس آذر قزوین را که زد؟,بهرام گودرزی بازیکن آلومینیوم اراک,Right
Card,کدام بازیکنان تیم پرسپولیس در بازی آخر این تیم کارت زرد گرفته اند؟,فرشاد احمدزاده و علی علیپور,Wrong
Card,کدام بازیکنان تیم گل گهر در بازی آخر این تیم کارت زرد گرفته اند؟,امید حامدی فر، علیرضا علیزاده و سیامک نعمتی,Wrong
Team,سرمربی تیم مس رفسنجان کیست؟,رسول خطیبی,Right
Team,نام ورزشگاه خانگی باشگاه چادرملو اردکان چیست؟,ورزشگاه شهید نصیری,Right
Future,بازی بعدی تیم استقلال با کدام تیم است؟,مس رفسنجان,Right
Future,بازی بعدی تیم سپاهان در چه تاریخی است؟,جمعه ۲۵ مهر مقابل استقلال خوزستان,Right
Future,بازی بعدی تیم پیکان در چه تاریخی است؟,شنبه ۲۶ مهر مقابل آلومینیوم اراک,Wrong
Future,بازی بعدی تیم فولاد در کدام ورزشگاه است؟,ورزشگاه فولاد شهر,Wrong
Random,بازی ایران روسیه با چه نتیجه ای پایان یافت؟,این بازی با نتیجه ۲ بر ۱ به نفع روسیه پایان یافت.,Right
Random,سرمربی صربستان چه کسی است؟,بعد از استعفای سرمربی قبلی، زوران میریکوویچ سرمربی موقت این تیم است.,Right
Random,آیا غنا به جام جهانی ۲۰۲۶ راه یافته است؟,بله، غنا به جام جهانی ۲۰۲۶ راه یافته است.,Right
Random,نتیجه بازی دانمارک یونان چه شد؟,این بازی با نتیجه ۳ بر ۱ به نفع دانمارک به پایان رسید.,Right
Random,آیا مهدی قایدی به اردو تیم ملی دعوت شده است؟,بله، مهدی قایدی در اردوی تیم ملی پیش از بازی با تانزانیا حضور یافت.,Right
